-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::index         0.01%     202.000us         0.01%     273.000us      45.500us      24.000us         0.00%      24.000us       4.000us           0 b           0 b       9.00 Kb       9.00 Kb             6            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       4.000us           0 b           0 b           0 b           0 b             6            --  
                                              aten::exp         0.01%     381.000us         0.02%     532.000us      17.733us      24.000us         0.00%      24.000us       0.800us       3.00 Kb       3.00 Kb      24.00 Kb      24.00 Kb            30            --  
                                              aten::sin         0.01%     339.000us         0.02%     525.000us      17.500us      24.000us         0.00%      30.000us       1.000us       3.00 Kb       3.00 Kb      24.00 Kb      24.00 Kb            30            --  
                                              aten::cos         0.01%     322.000us         0.02%     510.000us      17.000us      24.000us         0.00%      24.000us       0.800us       3.00 Kb       3.00 Kb      24.00 Kb      24.00 Kb            30            --  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
                                              aten::sub         0.02%     594.000us         0.04%       1.234ms      17.139us      24.000us         0.00%      24.000us       0.333us         164 b         -48 b     768.00 Kb     768.00 Kb            72            --  
                                       aten::reciprocal         0.01%     336.000us         0.02%     497.000us      20.708us      24.000us         0.00%      24.000us       1.000us           0 b           0 b      12.00 Kb      12.00 Kb            24            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       1.000us           0 b           0 b           0 b           0 b            24            --  
                                        aten::clamp_min         0.01%     279.000us         0.01%     423.000us      17.625us      24.000us         0.00%      24.000us       1.000us           0 b           0 b      12.00 Kb      12.00 Kb            24            --  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.01%     386.000us         0.01%     386.000us       0.677us      20.000us         0.00%      20.000us       0.035us           0 b           0 b           0 b           0 b           570            --  
                                           aten::argmax         0.01%     163.000us         0.01%     210.000us      35.000us      18.000us         0.00%      18.000us       3.000us           0 b           0 b       3.00 Kb       3.00 Kb             6            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       3.000us           0 b           0 b           0 b           0 b             6            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       1.000us           0 b           0 b           0 b           0 b            18            --  
                                            aten::fill_         0.00%     129.000us         0.01%     267.000us      22.250us      16.000us         0.00%      16.000us       1.333us           0 b           0 b           0 b           0 b            12            --  
                                            aten::clamp         0.00%     113.000us         0.01%     163.000us      27.167us      13.000us         0.00%      13.000us       2.167us           0 b           0 b       9.00 Mb       9.00 Mb             6            --  
void dot_kernel<float, 128, 0, cublasDotParams<cubla...         0.00%       0.000us         0.00%       0.000us       0.000us      13.000us         0.00%      13.000us       1.083us           0 b           0 b           0 b           0 b            12            --  
