-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute         0.12%     599.000us         0.12%     599.000us       0.632us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           948            --  
                                    cudaLaunchKernelExC         0.27%       1.285ms         0.27%       1.285ms       5.354us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           240            --  
                                          aten::dropout         0.00%       5.000us         0.00%       5.000us       0.012us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           420            --  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.06%     300.000us         0.06%     300.000us       1.087us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           276            --  
                                          aten::permute         0.24%       1.139ms         0.26%       1.256ms       6.542us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                                   aten::_reshape_alias         0.05%     243.000us         0.05%     243.000us       2.531us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                       aten::layer_norm         0.30%       1.448ms         4.37%      20.983ms      72.858us       0.000us         0.00%       5.585ms      19.392us           0 b           0 b     807.05 Mb       2.51 Mb           288            --  
                                       aten::contiguous         0.26%       1.226ms         1.47%       7.042ms      36.677us       0.000us         0.00%       2.885ms      15.026us           0 b           0 b     533.25 Mb      73.44 Mb           192            --  
                                            aten::clone         0.24%       1.137ms         1.40%       6.746ms      35.135us       0.000us         0.00%       3.337ms      17.380us           0 b           0 b     533.25 Mb      -6.25 Mb           192            --  
                                       aten::empty_like         0.14%     674.000us         0.41%       1.992ms      10.375us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     533.25 Mb       6.25 Mb           192            --  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.12%     563.000us         0.12%     563.000us       0.757us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           744            --  
                                     aten::_unsafe_view         0.29%       1.408ms         0.29%       1.408ms       2.444us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           576            --  
                     aten::scaled_dot_product_attention         0.69%       3.322ms         3.70%      17.779ms      92.599us       0.000us         0.00%     140.449ms     731.505us       3.00 Kb          48 b     543.12 Mb       2.83 Mb           192            --  
          aten::_scaled_dot_product_efficient_attention         0.87%       4.162ms         3.05%      14.679ms      76.453us       0.000us         0.00%     140.554ms     732.052us       3.00 Kb           0 b     543.12 Mb           0 b           192            --  
                                            aten::chunk         0.07%     324.000us         0.41%       1.983ms      20.656us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                            aten::split         0.13%     640.000us         0.36%       1.740ms      18.125us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                           aten::narrow         0.10%     485.000us         0.21%       1.029ms       5.359us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                                        cudaMemsetAsync         1.47%       7.042ms         1.47%       7.042ms       8.891us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           792            --  
                                  cudaDeviceSynchronize        18.10%      86.976ms        18.10%      86.976ms      12.425ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 480.502ms
Self CUDA time total: 450.314ms

